date,county,state,fips,cases,deaths
2021-10-12,Autauga,Alabama,01001,9858,144
2021-10-12,Baldwin,Alabama,01003,36933,532
2021-10-12,Barbour,Alabama,01005,3548,74
2021-10-12,Bibb,Alabama,01007,4202,86
2021-10-12,Blount,Alabama,01009,10037,172
2021-10-12,Bullock,Alabama,01011,1517,44
2021-10-12,Butler,Alabama,01013,3230,94
2021-10-12,Calhoun,Alabama,01015,22034,448
2021-10-12,Chambers,Alabama,01017,5537,139
2021-10-12,Cherokee,Alabama,01019,2980,57
2021-10-12,Chilton,Alabama,01021,6550,151
2021-10-12,Choctaw,Alabama,01023,861,27
2021-10-12,Clarke,Alabama,01025,4722,80
2021-10-12,Clay,Alabama,01027,2380,67
2021-10-12,Cleburne,Alabama,01029,2450,57
2021-10-12,Coffee,Alabama,01031,9151,185
2021-10-12,Colbert,Alabama,01033,8728,199
2021-10-12,Conecuh,Alabama,01035,1844,50
2021-10-12,Coosa,Alabama,01037,1765,37
2021-10-12,Covington,Alabama,01039,6631,175
2021-10-12,Crenshaw,Alabama,01041,2425,75
2021-10-12,Cullman,Alabama,01043,15209,286
2021-10-12,Dale,Alabama,01045,8830,180
2021-10-12,Dallas,Alabama,01047,4822,195
2021-10-12,DeKalb,Alabama,01049,12495,254
2021-10-12,Elmore,Alabama,01051,14901,277
2021-10-12,Escambia,Alabama,01053,6692,127
2021-10-12,Etowah,Alabama,01055,19709,488
2021-10-12,Fayette,Alabama,01057,2877,78
2021-10-12,Franklin,Alabama,01059,5920,104
2021-10-12,Geneva,Alabama,01061,4555,124
2021-10-12,Greene,Alabama,01063,1241,44
2021-10-12,Hale,Alabama,01065,2964,86
2021-10-12,Henry,Alabama,01067,3092,63
2021-10-12,Houston,Alabama,01069,17210,397
2021-10-12,Jackson,Alabama,01071,9717,170
2021-10-12,Jefferson,Alabama,01073,113810,1879
2021-10-12,Lamar,Alabama,01075,2125,45
2021-10-12,Lauderdale,Alabama,01077,13996,292
2021-10-12,Lawrence,Alabama,01079,4234,111
2021-10-12,Lee,Alabama,01081,23056,233
2021-10-12,Limestone,Alabama,01083,15118,194
2021-10-12,Lowndes,Alabama,01085,1727,61
2021-10-12,Macon,Alabama,01087,2289,61
2021-10-12,Madison,Alabama,01089,51655,666
2021-10-12,Marengo,Alabama,01091,3316,89
2021-10-12,Marion,Alabama,01093,4925,126
2021-10-12,Marshall,Alabama,01095,18198,288
2021-10-12,Mobile,Alabama,01097,71907,1309
2021-10-12,Monroe,Alabama,01099,3276,60
2021-10-12,Montgomery,Alabama,01101,33815,703
2021-10-12,Morgan,Alabama,01103,20519,361
2021-10-12,Perry,Alabama,01105,1374,39
2021-10-12,Pickens,Alabama,01107,3125,77
2021-10-12,Pike,Alabama,01109,4700,104
2021-10-12,Randolph,Alabama,01111,3235,60
2021-10-12,Russell,Alabama,01113,6222,57
2021-10-12,Shelby,Alabama,01117,37130,330
2021-10-12,St. Clair,Alabama,01115,15852,334
2021-10-12,Sumter,Alabama,01119,1298,38
2021-10-12,Talladega,Alabama,01121,13588,263
2021-10-12,Tallapoosa,Alabama,01123,6990,194
2021-10-12,Tuscaloosa,Alabama,01125,34766,586
2021-10-12,Walker,Alabama,01127,11026,356
2021-10-12,Washington,Alabama,01129,2506,50
2021-10-12,Wilcox,Alabama,01131,1657,38
2021-10-12,Winston,Alabama,01133,4433,99
2021-10-12,Aleutians East Borough,Alaska,02013,431,3
2021-10-12,Aleutians West Census Area,Alaska,02016,917,0
2021-10-12,Anchorage,Alaska,02020,51412,293
2021-10-12,Bethel Census Area,Alaska,02050,5524,25
2021-10-12,Bristol Bay plus Lake and Peninsula,Alaska,02997,410,0
2021-10-12,Denali Borough,Alaska,02068,251,1
2021-10-12,Dillingham Census Area,Alaska,02070,708,5
2021-10-12,Fairbanks North Star Borough,Alaska,02090,14056,70
2021-10-12,Haines Borough,Alaska,02100,220,0
2021-10-12,Juneau City and Borough,Alaska,02110,3477,7
2021-10-12,Kenai Peninsula Borough,Alaska,02122,9758,45
2021-10-12,Ketchikan Gateway Borough,Alaska,02130,1557,7
2021-10-12,Kodiak Island Borough,Alaska,02150,2311,7
